album_id,album_genres,album_release_date,album_popularity
2yHJoGH0mIqYVAHUFKJcZ6,,1994,59
5nNeSC4KNxT50MnliLuGRa,,1994-01-01,59
6iv9WTw1nhNxSsgKaxMp4E,,1994,73
3E3QRjL4Cre7Krms420Irl,,1994-05-22,62
57lcTrUlYgfMIPvBUsVU6h,,1994-06-07,69
5pd9B3KQWKshHw4lnsSLNy,,1994-11-22,62
1IWhZEOwEoXbOB4a40XaR3,,1994-01-01,57
1To7kv722A8SpZF789MZy7,,1994-11-01,74
2cIEIezxCUx2ifez04CwCK,,1994-01-01,64
4O5tv6jrLH80bmll46xEEe,,1994,59
4FCoFSNIFhK36holxHWCnc,,1994,68
7yQtjAjhtNi76KRu05XWFS,,1994,71
0candONErDvN9wWFhOWXrS,,1994-05-17,54
21W5Yp75UyOaWI2QALA7PS,,1994-01-01,60
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
18eJ4H4smFp29lRMsLygUc,,1994-03-22,60
70GAqt2avSiKBJ2IEymou1,,1994,64
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79
4FCoFSNIFhK36holxHWCnc,,1994,68
3uO1R11G7IV6Y0FIKqWyTF,,1994-09-16,54
3DbH9awNYiSTpvyCNqxdkl,,1994-07-26,53
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
5AYmpTfdv1OoASUJ5rZB7K,,1994-07-01,66
4ZsG3ifn9sIcrFT1ecw0gF,,1994-01-01,65
1OQ5l5rHKqUumPpn559zJC,,1994-01-01,60
0SeRWS3scHWplJhMppd6rJ,,1994-09-27,58
4ZsG3ifn9sIcrFT1ecw0gF,,1994-01-01,65
4Rj3sxQFk2chQQqfad4siz,,1994-01-01,58
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
0XmgSYx9bj4sqpcXVgKs2C,,1994-08-09,61
4L5ZA0GukWNWjsk9b7HHDy,,1994-01-01,61
2mPZNQNgW1zrkIPyL9XJcf,,1994,69
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80
2Rwf2nPYZQ9aIe4QXACTC7,,1994-01-01,62
67kl5m0df6Bn0aSe3g5Ea7,,1994-03-08,58
6MH35oajuCbpS9YBmwTrPf,,1994-06-01,62
1To7kv722A8SpZF789MZy7,,1994-11-01,74
7EaFCudrleGdoYFl2srjhi,,1994-02-28,57
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72
3ZGUBwDiY5HPOcWv4SBPQg,,1994-10-21,65
3E3QRjL4Cre7Krms420Irl,,1994-05-22,62
18eJ4H4smFp29lRMsLygUc,,1994-03-22,60
5QNjrUgXwBtY6c3aArcCfT,,1994-07-05,60
4FCoFSNIFhK36holxHWCnc,,1994,68
57lcTrUlYgfMIPvBUsVU6h,,1994-06-07,69
1Bwo9JkbVwxGyvtQNMRK21,,1994-10-03,76
35RTe7YfQemPHk27qXWMxK,,1994-01-14,55
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73
3E3QRjL4Cre7Krms420Irl,,1994-05-22,62
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
3YA5DdB3wSz4pdfEXoMyRd,,1994-01-01,70
3KwArr7JHl7ykUNYrrja7N,,1994-05-23,56
3QXuIFZnAGmlahOic59KsT,,1994-01-01,56
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
3YA5DdB3wSz4pdfEXoMyRd,,1994-01-01,70
499ITeZ8gs03lrO9NULY7y,,1994-02-22,54
1fSD1yTlcwVUWdpK7Nr7v5,,1994,57
0g1OHe0yigASaT0nVQkjQS,,1994-09-17,51
7fhwdWmGl8rR2iVE6ivY42,,1994-01-01,57
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72
2uT123xlHuqvz14JR0KQSs,,1994-01-01,61
26RDYvX2sIuiEUhqVPkNaf,,1994-11-15,55
7D3XFJlfZIkmGWqZXm2X8z,,1994-10-11,67
0tBfLeYdX3oBnl5NVpot4m,,1994-10-18,68
1Q9leCDLTJZIMmnXziq8mU,,1994-04-27,56
7yQtjAjhtNi76KRu05XWFS,,1994,71
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
1hB7vz3JKWZ2sKEPeVolH9,,1994-01-01,63
18KH8hukVFk2r1GZbrbp39,,1994-06-28,54
3YA5DdB3wSz4pdfEXoMyRd,,1994-01-01,70
3RRcYI9ZM3nOiIo3bzaLeJ,,1994-10-25,55
2SZZihZiCsFo87NKxDfxlH,,1994-03-07,59
5UvUjC3G4UKSrwOeBA0qob,,1994-10-28,61
22PP61GmfGKAhIQo2ZSRxG,,1994-05-10,57
2OKf5WlgqFgszrDsxMq07t,,1994-08-07,51
32TIJn1x8SCsHVCswGnQZQ,,1994-03-11,65
2Rwf2nPYZQ9aIe4QXACTC7,,1994-01-01,62
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
26yshjRCAGf1mLJtfTrlsb,,1994-01-01,51
33XyyiV7lMXdFbsorjt1sB,,1994-01-01,53
7IDywTRaCI8qzS3X8tNU3x,,1994-04-08,73
35RTe7YfQemPHk27qXWMxK,,1994-01-14,55
2Z1lDWB2EfTUKV5ILxjdvu,,1994,53
6lfjbwFGzQ6aSNP1N3JlT8,,1994-05-23,68
3l5AwLKqQ42VJbc5lTuP8G,,1994-04-26,57
2WtC5PE25yxWNPpAinn2in,,1994-02-22,60
0SeRWS3scHWplJhMppd6rJ,,1994-09-27,58
1IWhZEOwEoXbOB4a40XaR3,,1994-01-01,57
30JPDQFmVwnBN78AVvzXhD,,1994-06-07,60
32TIJn1x8SCsHVCswGnQZQ,,1994-03-11,65
3ZGUBwDiY5HPOcWv4SBPQg,,1994-10-21,65
079QiYtMEMsGPv0TNAWZPe,,1994-07-19,57
53g8c9eM74nQkKXDEE5tlu,,1994-01-01,59
3nJnyDV8fwFpffo0EyHQto,,1994-03-08,61
4Rj3sxQFk2chQQqfad4siz,,1994-01-01,58
5AYmpTfdv1OoASUJ5rZB7K,,1994-07-01,66
3539EbNgIdEDGBKkUf4wno,,1994-01-01,69
4ZsG3ifn9sIcrFT1ecw0gF,,1994-01-01,65
70GAqt2avSiKBJ2IEymou1,,1994,64
4Oi5WVWO8C8zYKQ5K4GQTI,,1994-07-05,50
18KH8hukVFk2r1GZbrbp39,,1994-06-28,54
3DMQ0XGeZlnUJtqHU8kDWm,,1994-09-01,52
7IDywTRaCI8qzS3X8tNU3x,,1994-04-08,73
29sTacnS0qA9xri6YS8xLA,,1994-03-09,71
7yQtjAjhtNi76KRu05XWFS,,1994,71
6APUHxy54plCcHLqrtI5sO,,1994-03-12,59
3Ba5eDpzB4yLBfJsraQM4G,,1994-05-23,54
4W5tAjZ4fF60N6a2v8EWnF,,1994-01-01,45
5ksjoaGEdnwJWqaFtaXuwO,,1994-01-01,54
7D3XFJlfZIkmGWqZXm2X8z,,1994-10-11,67
7yQtjAjhtNi76KRu05XWFS,,1994,71
4FCoFSNIFhK36holxHWCnc,,1994,68
1OQ5l5rHKqUumPpn559zJC,,1994-01-01,60
0yxM1OyaFOZiJhi9eNThE4,,1994-08-23,50
5Bj8dRzPK5F1ozrV5IPb4u,,1994-01-01,52
7DLI0K5q6Gb1vgtlgKSgmU,,1994,56
5XAkYz9sHWxtFdEWWssDHP,,1994-01-01,59
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
2rD97DTS4zzJCplMzvsYtC,,1994-02-03,56
2Tz88LCwtg5sli8x2YjJyF,,1994-11-08,63
6NBox81OQox7U4I0hZB9t0,,1994-08-29,53
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
32TIJn1x8SCsHVCswGnQZQ,,1994-03-11,65
30JPDQFmVwnBN78AVvzXhD,,1994-06-07,60
1zSAYkmDy8ILP7aHvvPEON,,1994-01-18,49
1OQ5l5rHKqUumPpn559zJC,,1994-01-01,60
7yQtjAjhtNi76KRu05XWFS,,1994,71
7D3XFJlfZIkmGWqZXm2X8z,,1994-10-11,67
1XFNz6KIvLyIsLFOiLRKqP,,1994-02-14,54
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72
0SeRWS3scHWplJhMppd6rJ,,1994-09-27,58
1OQ5l5rHKqUumPpn559zJC,,1994-01-01,60
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
2yHJoGH0mIqYVAHUFKJcZ6,,1994,59
3OhZTb3unARrvpYc0STkFM,,1994-05-03,48
33NHMtzngLZw6GBB1nNpVJ,,1994-01-25,47
5eg56dCpFn32neJak2vk0f,,1994-11-15,69
0XmgSYx9bj4sqpcXVgKs2C,,1994-08-09,61
4RdZmqTchsAssdH8HyJ4bO,,1994-08-23,45
6cr3RXPCo3aowqiWSPsW6v,,1994,49
1To7kv722A8SpZF789MZy7,,1994-11-01,74
427RaNcXhoy1CpNySfJ4cd,,1994-08-02,61
3AMHMM2aNG6k3d7ybcQ5bY,,1994,67
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79
5eg56dCpFn32neJak2vk0f,,1994-11-15,69
18ziyK5CNjFNboOBH8o2it,,1994,48
6iv9WTw1nhNxSsgKaxMp4E,,1994,73
3DPAOT9HmCgKm2atPis3Ao,,1994,47
32TIJn1x8SCsHVCswGnQZQ,,1994-03-11,65
45jRKB7cqJYwk7vHyYgveo,,1994-01-01,51
72hHodJKJV6cbyA5etLyNb,,1994-07-19,52
70GAqt2avSiKBJ2IEymou1,,1994,64
2uT123xlHuqvz14JR0KQSs,,1994-01-01,61
7EJ5pXrSqqfybKyfbvlz84,,1994-07-20,67
5Mjt2iha5C99JBqTjJijg9,,1994-01-01,47
0XmgSYx9bj4sqpcXVgKs2C,,1994-08-09,61
1IWhZEOwEoXbOB4a40XaR3,,1994-01-01,57
7dcrUMOet5HIHYiDaVk89R,,1994-04-19,51
1y772v6xDzzRWlaYWcNWHq,,1994,46
4ihlEk0yuvUpKGSX8A9ITz,,1994-01-01,54
7mYcq3B0faiA5IvhDCdypL,,1994,48
6Z8BYH27wINoUk4QMUx7gh,,1994-07-19,58
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73
3ScLM7m1Lu2xScRrYqEOlU,,1994-01-01,43
2Rwf2nPYZQ9aIe4QXACTC7,,1994-01-01,62
1gk6tISd64foZA1eWwDnNg,,1994-11-11,58
3eFHSj92hUa4efE4f4I3qY,,1994-10-18,49
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
6ufis2iWp3hrox9QJfg5Jq,,1994-12-13,48
58OXNbpZDhQjWTv51DKpux,,1994-09-09,49
3nJnyDV8fwFpffo0EyHQto,,1994-03-08,61
1To7kv722A8SpZF789MZy7,,1994-11-01,74
1To7kv722A8SpZF789MZy7,,1994-11-01,74
6iv9WTw1nhNxSsgKaxMp4E,,1994,73
1To7kv722A8SpZF789MZy7,,1994-11-01,74
7glwer1Pzyns4h32fHbl53,,1994,53
7D3XFJlfZIkmGWqZXm2X8z,,1994-10-11,67
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
32TIJn1x8SCsHVCswGnQZQ,,1994-03-11,65
33XyyiV7lMXdFbsorjt1sB,,1994-01-01,53
4K8bxkPDa5HENw0TK7WxJh,,1994-03-09,62
3xseO3iLY7v7dL7VP6jpsH,,1994-09-13,51
0pTv9npSf7D3pqKDi9fad1,,1994-05-27,47
301WAwIJ2sSfY8I4Jwujqm,,1994-08-20,57
22PP61GmfGKAhIQo2ZSRxG,,1994-05-10,57
1V76gZ6Ln4ubw7aiok7Qoa,,1994-08-02,46
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
6VNuZLF98tsRYgqlIXAVCD,,1994-01-31,52
3AMHMM2aNG6k3d7ybcQ5bY,,1994,67
79RyzfidCUY1XvdzwW0AYy,,1994-09-20,57
1NpEJb5OJqbZ6UZTZBdqdz,,1994-11-08,51
3539EbNgIdEDGBKkUf4wno,,1994-01-01,69
2cIEIezxCUx2ifez04CwCK,,1994-01-01,64
2GPq8BXUNLgiDb191QM7j8,,1994,50
7ioTFSNJIuTN8YTKqA7eDF,,1994,51
1VUlxoPvDA8PfUDHTic793,,1994-01-01,47
3gl2RguatWgKSoCuN1tSw9,,1994-08-23,46
3YA5DdB3wSz4pdfEXoMyRd,,1994-01-01,70
7IyaFTtjDY7iOUQAJ8YXfZ,,1994-01-01,53
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
6zdNTQ1uS2ZzFZkExMqcAh,,1994-09-26,49
7JAOJVFqLdIyjwQKi9H3Qp,,1994,45
4BZSWWLwSlgBUQZqAvqLYL,,1994,60
57lcTrUlYgfMIPvBUsVU6h,,1994-06-07,69
5F0IQXuHfTV7SBvZVnXERl,,1994,63
2GPq8BXUNLgiDb191QM7j8,,1994,50
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
7tFTqVGHceSlXOaz8IylBN,,1994-01-01,56
4Rrm9Du0htwyux1jNjsYCx,,1994-01-01,58
3wdD2PQkm8N4ezZf732Oxv,,1994-05-10,50
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
2jzoM56c7kGgQKqFT7Ymu6,,1994-01-01,49
1zSAYkmDy8ILP7aHvvPEON,,1994-01-18,49
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73
5drHXExICEAsiNehDQvYwV,,1994,46
29STRG7wIt5L41sGuCMeyJ,,1994-09-26,54
1To7kv722A8SpZF789MZy7,,1994-11-01,74
7yQtjAjhtNi76KRu05XWFS,,1994,71
7eTETj3EROBg3aGhulEuwk,,1994-01-01,47
1w13BP16RNkn6JNSsxlJTh,,1994-02-01,65
110rZdMmIjA335CehJJkuk,,1994-04-14,64
1eudqXesmmxC08VZaNtEaq,,1994-01-01,51
3wQuZdfDboB8bo5MPTUpgA,,1994-06-28,45
3539EbNgIdEDGBKkUf4wno,,1994-01-01,69
2Q6XCez8NWMKNKYMsm54DK,,1994-09-27,54
7yQtjAjhtNi76KRu05XWFS,,1994,71
1RmsgRJnBFyRMAVl1NW9pO,,1994,47
5Bj8dRzPK5F1ozrV5IPb4u,,1994-01-01,52
2yiX02xQ3Qo2fDXbfEQeS3,,1994-09-13,50
2fwvBbK1JkkzTAkSDBAk96,,1994,44
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
3l5AwLKqQ42VJbc5lTuP8G,,1994-04-26,57
2mPZNQNgW1zrkIPyL9XJcf,,1994,69
6lfjbwFGzQ6aSNP1N3JlT8,,1994-05-23,68
1Yw1ofXYmmEbmleLmNEfYZ,,1994-01-01,52
2e6Hp6xaTbUDVzcGLNTHm0,,1994-08-30,73
6n6VzpTcnHFpGVwJhLNkoH,,1994-10-14,48
0yZuUc5poB8rtqkbmA0APm,,1994-03-01,54
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
283hKbicgg933wSdd24U2s,,1994-08-23,54
2uT123xlHuqvz14JR0KQSs,,1994-01-01,61
18KH8hukVFk2r1GZbrbp39,,1994-06-28,54
3DbH9awNYiSTpvyCNqxdkl,,1994-07-26,53
6iv9WTw1nhNxSsgKaxMp4E,,1994,73
45xUVsd7H6WgsbM9QrZphR,,1994-01-18,42
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72
1To7kv722A8SpZF789MZy7,,1994-11-01,74
4S4WHsBRNEIha796lnU8NJ,,1994-08-08,52
1M1dhwZE65bqGfbUdMzvlj,,1994-03-01,59
0SeRWS3scHWplJhMppd6rJ,,1994-09-27,58
427RaNcXhoy1CpNySfJ4cd,,1994-08-02,61
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
2uT123xlHuqvz14JR0KQSs,,1994-01-01,61
04nuGr7TFcEEP5CdGrmG3s,,1994-01-01,51
3y63u5vmuMugqI8lfuUY3a,,1994-01-01,71
6vXTjAM0vg2zxU7bFSMxIs,,1994,42
1XFNz6KIvLyIsLFOiLRKqP,,1994-02-14,54
5g2FfZVMvBqRmuHjNsaf3l,,1994-06-21,64
7EJ5pXrSqqfybKyfbvlz84,,1994-07-20,67
20ku6CzcC5hFmNxoCaOzzJ,,1994-06-25,48
4GqinDAWUcJ20wfCaie6f8,,1994-09-26,49
1oOh2MdkPDUn8uaDeq82hf,,1994-01-01,56
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79
2Tz88LCwtg5sli8x2YjJyF,,1994-11-08,63
7D3XFJlfZIkmGWqZXm2X8z,,1994-10-11,67
4XbPmVHP7EYBMoE7ZVjKCU,,1994-11-08,68
1fvaT1qOl0H0gAHk5RHbts,,1994-06-01,69
2Rwf2nPYZQ9aIe4QXACTC7,,1994-01-01,62
5F0IQXuHfTV7SBvZVnXERl,,1994,63
1ROtodYSqQpGTr4Z99Vq6P,,1994-09-06,42
2jLrQzNNyxlqrHZnSU5sCI,,1994-01-01,58
5F0IQXuHfTV7SBvZVnXERl,,1994,63
31tMsjh8h82MbTpkWL6fYO,,1994-05-31,50
1rOawSf0a7ArflNIvebvMr,,1994-10-14,52
0At158s1kvMrfRqke8gsBk,,1994-05-27,52
4Rj3sxQFk2chQQqfad4siz,,1994-01-01,58
6BtFnL80q39q0OcSBroqwy,,1994-01-01,46
2cIEIezxCUx2ifez04CwCK,,1994-01-01,64
5pd9B3KQWKshHw4lnsSLNy,,1994-11-22,62
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
7fhwdWmGl8rR2iVE6ivY42,,1994-01-01,57
1Fw951OcmbeCmVnnNcRYrp,,1994-08-02,55
5ksjoaGEdnwJWqaFtaXuwO,,1994-01-01,54
2mk5XOGtfuxx7ZqqjkwYVD,,1994-03-22,51
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73
5I7lLu8xXJfGRdFUqHaLQU,,1994-03-08,61
3y7Mwv7UqhABQqsGlzSL6n,,1994-03-25,55
3QXuIFZnAGmlahOic59KsT,,1994-01-01,56
2YkOd7pot6a05ubGZVVcyq,,1994-08-16,43
4IlAVoLQ0uqWQaY4DaAL6R,,1994-10-18,51
0EGtVddwzSykYTiIFKrOVf,,1994-05-20,49
2e6Hp6xaTbUDVzcGLNTHm0,,1994-08-30,73
6ufis2iWp3hrox9QJfg5Jq,,1994-12-13,48
0yZuUc5poB8rtqkbmA0APm,,1994-03-01,54
1To7kv722A8SpZF789MZy7,,1994-11-01,74
3y7Mwv7UqhABQqsGlzSL6n,,1994-03-25,55
6gdq0tzScSPbteGqpJgHjM,,1994-04-27,46
127mCJhPsHAB33rOYybK04,,1994-05-10,52
5QNjrUgXwBtY6c3aArcCfT,,1994-07-05,60
4yzTm8IjIyybhPFGMTyv2N,,1994-08-30,51
29STRG7wIt5L41sGuCMeyJ,,1994-09-26,54
283hKbicgg933wSdd24U2s,,1994-08-23,54
7u20BJTgQrowjyaTEgE46p,,1994-09-13,53
67kl5m0df6Bn0aSe3g5Ea7,,1994-03-08,58
67KfLdhQa8X7kI1XM8eJaw,,1994-03-11,56
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80
4BZSWWLwSlgBUQZqAvqLYL,,1994,60
1saoZHjleM0tAQQoCvpMrB,,1994-10-25,56
5QNjrUgXwBtY6c3aArcCfT,,1994-07-05,60
70GAqt2avSiKBJ2IEymou1,,1994,64
3ZGUBwDiY5HPOcWv4SBPQg,,1994-10-21,65
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79
0iarsNqlfV4gXmTu6kr26k,,1994-01-21,42
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
5I7lLu8xXJfGRdFUqHaLQU,,1994-03-08,61
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
2oKbwv9ClTQKWHHTKCqN59,,1994-07-21,48
2rnCqy8dYnntVGBW5VM5HC,,1994-07-07,40
1Bwo9JkbVwxGyvtQNMRK21,,1994-10-03,76
5F0IQXuHfTV7SBvZVnXERl,,1994,63
6MEFBcD0a87GMYiHW3VsVI,,1994-03-28,42
0yZuUc5poB8rtqkbmA0APm,,1994-03-01,54
0pTv9npSf7D3pqKDi9fad1,,1994-05-27,47
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72
0SeRWS3scHWplJhMppd6rJ,,1994-09-27,58
2e6Hp6xaTbUDVzcGLNTHm0,,1994-08-30,73
3OlT3zr0bvzYYg2Dwn6Fkx,,1994-04-18,51
4xylgI6zPzJlHY8iZXAeK9,,1994,38
3uO1R11G7IV6Y0FIKqWyTF,,1994-09-16,54
79RyzfidCUY1XvdzwW0AYy,,1994-09-20,57
5nNeSC4KNxT50MnliLuGRa,,1994-01-01,59
3539EbNgIdEDGBKkUf4wno,,1994-01-01,69
32TIJn1x8SCsHVCswGnQZQ,,1994-03-11,65
1Ft1QQbUOCgSqumZKYuWhw,,1994-09-27,50
5QNjrUgXwBtY6c3aArcCfT,,1994-07-05,60
0Vq4bI3MkIfa1HWlkt9Ud2,,1994-06-13,56
24tOMYmmWLNGiLSBaarqyb,,1994-08-23,39
2VQKZAvtL5epxdEOuLVP6t,,1994-01-21,51
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
70GAqt2avSiKBJ2IEymou1,,1994,64
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
6APUHxy54plCcHLqrtI5sO,,1994-03-12,59
5F0IQXuHfTV7SBvZVnXERl,,1994,63
1To7kv722A8SpZF789MZy7,,1994-11-01,74
2SZZihZiCsFo87NKxDfxlH,,1994-03-07,59
3O8NuSnjHy8wiBqbG6N4yO,,1994-01-01,45
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
58OXNbpZDhQjWTv51DKpux,,1994-09-09,49
1To7kv722A8SpZF789MZy7,,1994-11-01,74
3RmEvRS56AW6bkVihyMK0q,,1994-01-01,50
29sTacnS0qA9xri6YS8xLA,,1994-03-09,71
4FCoFSNIFhK36holxHWCnc,,1994,68
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79
70GAqt2avSiKBJ2IEymou1,,1994,64
1cw5sRjB40LxCKIh2ge1F3,,1994-05-10,43
2kyyeLfIJ5PVTvfmUz1TLe,,1994-01-01,42
4Oi5WVWO8C8zYKQ5K4GQTI,,1994-07-05,50
5F0IQXuHfTV7SBvZVnXERl,,1994,63
72hHodJKJV6cbyA5etLyNb,,1994-07-19,52
7rVVL3koiagqhD3yMYpAQy,,1994-04-19,47
0tBfLeYdX3oBnl5NVpot4m,,1994-10-18,68
6cr3RXPCo3aowqiWSPsW6v,,1994,49
2e6Hp6xaTbUDVzcGLNTHm0,,1994-08-30,73
5F0IQXuHfTV7SBvZVnXERl,,1994,63
4UzGHdq0hRw2g9hUdrICpF,,1994-10-11,47
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80
7GFYpb7GvKZZcPTze1uAp8,,1994,51
3YA5DdB3wSz4pdfEXoMyRd,,1994-01-01,70
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75
4XbPmVHP7EYBMoE7ZVjKCU,,1994-11-08,68
7sdz6zUhXNwbwzqVRskzj9,,1994,45
6lfjbwFGzQ6aSNP1N3JlT8,,1994-05-23,68
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77
5pd9B3KQWKshHw4lnsSLNy,,1994-11-22,62
6ShLKGsrQk9OHXmEBrXJhd,,1994-09-13,48
2cIEIezxCUx2ifez04CwCK,,1994-01-01,64
3l5AwLKqQ42VJbc5lTuP8G,,1994-04-26,57
